connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-02-06 21:00:00,6,2,2,1
2019-02-06 21:30:00,6,2,2,1
2019-02-06 22:00:00,6,2,2,2
2019-02-06 23:00:00,6,2,2,1
2019-02-06 23:30:00,6,2,2,1
2019-02-07 00:30:00,7,3,2,1
2019-02-07 13:30:00,7,3,2,4
2019-02-07 14:00:00,7,3,2,10
2019-02-07 14:30:00,7,3,2,11
2019-02-07 15:00:00,7,3,2,16
2019-02-07 15:30:00,7,3,2,11
2019-02-07 17:30:00,7,3,2,1
2019-02-07 18:30:00,7,3,2,1
2019-02-07 19:30:00,7,3,2,1
2019-02-07 20:30:00,7,3,2,1
2019-02-07 21:30:00,7,3,2,1
2019-02-07 22:00:00,7,3,2,1
2019-02-07 22:30:00,7,3,2,2
2019-02-07 23:00:00,7,3,2,2
2019-02-07 23:30:00,7,3,2,2
2019-02-08 00:00:00,8,4,2,3
2019-02-08 00:30:00,8,4,2,1
2019-02-08 01:30:00,8,4,2,1
2019-02-08 13:00:00,8,4,2,1
2019-02-08 13:30:00,8,4,2,3
2019-02-08 14:00:00,8,4,2,11
2019-02-08 14:30:00,8,4,2,8
2019-02-08 15:00:00,8,4,2,14
2019-02-08 15:30:00,8,4,2,15
2019-02-08 18:30:00,8,4,2,1
2019-02-08 19:00:00,8,4,2,2
2019-02-08 19:30:00,8,4,2,6
2019-02-08 20:00:00,8,4,2,1
2019-02-08 20:30:00,8,4,2,1
2019-02-08 21:30:00,8,4,2,1
2019-02-08 22:30:00,8,4,2,3
2019-02-08 23:00:00,8,4,2,2
2019-02-08 23:30:00,8,4,2,4
2019-02-09 00:00:00,9,5,2,2
2019-02-09 13:30:00,9,5,2,1
2019-02-09 17:00:00,9,5,2,1
2019-02-09 17:30:00,9,5,2,1
2019-02-09 18:00:00,9,5,2,1
2019-02-09 19:30:00,9,5,2,1
2019-02-09 21:30:00,9,5,2,1
2019-02-10 02:00:00,10,6,2,1
2019-02-10 21:00:00,10,6,2,1
2019-02-10 23:00:00,10,6,2,1
2019-02-11 13:30:00,11,0,2,6
2019-02-11 14:00:00,11,0,2,8
2019-02-11 14:30:00,11,0,2,7
2019-02-11 15:00:00,11,0,2,19
2019-02-11 15:30:00,11,0,2,11
2019-02-11 16:00:00,11,0,2,1
2019-02-11 19:30:00,11,0,2,1
2019-02-11 20:00:00,11,0,2,1
2019-02-11 20:30:00,11,0,2,1
2019-02-11 22:00:00,11,0,2,3
2019-02-11 22:30:00,11,0,2,2
2019-02-11 23:00:00,11,0,2,1
2019-02-11 23:30:00,11,0,2,3
2019-02-12 00:00:00,12,1,2,5
2019-02-12 04:00:00,12,1,2,1
2019-02-12 13:00:00,12,1,2,1
2019-02-12 13:30:00,12,1,2,6
2019-02-12 14:00:00,12,1,2,12
2019-02-12 14:30:00,12,1,2,8
2019-02-12 15:00:00,12,1,2,19
2019-02-12 15:30:00,12,1,2,6
2019-02-12 17:00:00,12,1,2,1
2019-02-12 17:30:00,12,1,2,1
2019-02-12 19:00:00,12,1,2,2
2019-02-12 19:30:00,12,1,2,1
2019-02-12 20:00:00,12,1,2,1
2019-02-12 20:30:00,12,1,2,1
2019-02-12 21:00:00,12,1,2,2
2019-02-12 22:30:00,12,1,2,1
2019-02-12 23:00:00,12,1,2,1
2019-02-12 23:30:00,12,1,2,2
2019-02-13 00:00:00,13,2,2,5
2019-02-13 01:00:00,13,2,2,2
2019-02-13 01:30:00,13,2,2,1
2019-02-13 12:30:00,13,2,2,1
2019-02-13 13:30:00,13,2,2,7
2019-02-13 14:00:00,13,2,2,5
2019-02-13 14:30:00,13,2,2,11
2019-02-13 15:00:00,13,2,2,21
2019-02-13 15:30:00,13,2,2,7
2019-02-13 19:30:00,13,2,2,1
2019-02-13 20:00:00,13,2,2,1
2019-02-13 20:30:00,13,2,2,1
2019-02-13 21:30:00,13,2,2,1
2019-02-13 22:00:00,13,2,2,2
2019-02-13 22:30:00,13,2,2,1
2019-02-13 23:30:00,13,2,2,1
2019-02-14 00:00:00,14,3,2,1
2019-02-14 03:00:00,14,3,2,1
2019-02-14 13:00:00,14,3,2,1
2019-02-14 13:30:00,14,3,2,3
2019-02-14 14:00:00,14,3,2,10
2019-02-14 14:30:00,14,3,2,13
2019-02-14 15:00:00,14,3,2,14
2019-02-14 15:30:00,14,3,2,11
2019-02-14 16:30:00,14,3,2,1
2019-02-14 20:00:00,14,3,2,2
2019-02-14 21:00:00,14,3,2,3
2019-02-14 22:30:00,14,3,2,3
2019-02-14 23:00:00,14,3,2,3
2019-02-14 23:30:00,14,3,2,1
2019-02-15 00:00:00,15,4,2,1
2019-02-15 00:30:00,15,4,2,1
2019-02-15 04:00:00,15,4,2,1
2019-02-15 13:30:00,15,4,2,2
2019-02-15 14:30:00,15,4,2,1
2019-02-15 15:00:00,15,4,2,1
2019-02-15 15:30:00,15,4,2,3
2019-02-15 16:00:00,15,4,2,3
2019-02-15 16:30:00,15,4,2,4
2019-02-15 17:00:00,15,4,2,4
2019-02-15 17:30:00,15,4,2,1
2019-02-15 18:00:00,15,4,2,3
2019-02-15 18:30:00,15,4,2,1
2019-02-15 19:00:00,15,4,2,1
2019-02-15 20:30:00,15,4,2,2
2019-02-15 21:30:00,15,4,2,2
2019-02-15 22:00:00,15,4,2,3
2019-02-15 23:00:00,15,4,2,2
2019-02-16 01:00:00,16,5,2,1
2019-02-16 18:00:00,16,5,2,1
2019-02-17 00:30:00,17,6,2,1
2019-02-17 20:00:00,17,6,2,1
2019-02-18 17:00:00,18,0,2,1
2019-02-18 18:00:00,18,0,2,1
2019-02-18 21:30:00,18,0,2,1
2019-02-18 23:30:00,18,0,2,1
2019-02-19 00:30:00,19,1,2,1
2019-02-19 13:00:00,19,1,2,1
2019-02-19 13:30:00,19,1,2,4
2019-02-19 14:00:00,19,1,2,11
2019-02-19 14:30:00,19,1,2,14
2019-02-19 15:00:00,19,1,2,11
2019-02-19 15:30:00,19,1,2,10
2019-02-19 16:00:00,19,1,2,1
2019-02-19 18:30:00,19,1,2,2
2019-02-19 19:00:00,19,1,2,1
2019-02-19 20:00:00,19,1,2,1
2019-02-19 21:00:00,19,1,2,1
